Freq.	Vy/Vx
1.30617088813183e+000	1.22125803303159e+002	1.77261620346437e+002
1.30918192299940e+000	1.22125757620698e+002	1.77255317344404e+002
1.31219989901920e+000	1.22125711731240e+002	1.77248999881263e+002
1.31522483219223e+000	1.22125665627702e+002	1.77242667930914e+002
1.31825673855640e+000	1.22125619311422e+002	1.77236321439399e+002
1.32129563418657e+000	1.22125572782767e+002	1.77229960388600e+002
1.32434153519466e+000	1.22125526041982e+002	1.77223584744598e+002
1.32739445772973e+000	1.22125479076951e+002	1.77217194469847e+002
1.33045441797808e+000	1.22125431903985e+002	1.77210789536323e+002
1.33352143216332e+000	1.22125384515897e+002	1.77204369906894e+002
1.33659551654643e+000	1.22125336903065e+002	1.77197935549679e+002
1.33967668742593e+000	1.22125289076806e+002	1.77191486429743e+002
1.34276496113786e+000	1.22125241025000e+002	1.77185022511847e+002
1.34586035405594e+000	1.22125192752849e+002	1.77178543768965e+002
1.34896288259164e+000	1.22125144260526e+002	1.77172050161876e+002
1.35207256319427e+000	1.22125095545763e+002	1.77165541654961e+002
1.35518941235103e+000	1.22125046606340e+002	1.77159018219974e+002
1.35831344658715e+000	1.22124997438744e+002	1.77152479820991e+002
1.36144468246594e+000	1.22124948041929e+002	1.77145926422731e+002
1.36458313658892e+000	1.22124898427189e+002	1.77139357991884e+002
1.36772882559584e+000	1.22124848578712e+002	1.77132774498138e+002
1.37088176616484e+000	1.22124798499111e+002	1.77126175902911e+002
1.37404197501251e+000	1.22124748193517e+002	1.77119562174623e+002
1.37720946889394e+000	1.22124697654604e+002	1.77112933265736e+002
1.38038426460288e+000	1.22124646874085e+002	1.77106289165235e+002
1.38356637897177e+000	1.22124595872988e+002	1.77099629825466e+002
1.38675582887188e+000	1.22124544637860e+002	1.77092955206050e+002
1.38995263121334e+000	1.22124493159091e+002	1.77086265285631e+002
1.39315680294529e+000	1.22124441445362e+002	1.77079560016326e+002
1.39636836105593e+000	1.22124389490793e+002	1.77072839382027e+002
1.39958732257261e+000	1.22124337298983e+002	1.77066103316893e+002
1.40281370456195e+000	1.22124284864133e+002	1.77059351816179e+002
1.40604752412990e+000	1.22124232198626e+002	1.77052584834877e+002
1.40928879842186e+000	1.22124179277883e+002	1.77045802332943e+002
1.41253754462274e+000	1.22124126114423e+002	1.77039004283943e+002
1.41579377995707e+000	1.22124072713172e+002	1.77032190637414e+002
1.41905752168908e+000	1.22124019068194e+002	1.77025361373573e+002
1.42232878712281e+000	1.22123965168460e+002	1.77018516452638e+002
1.42560759360218e+000	1.22123911021453e+002	1.77011655837547e+002
1.42889395851109e+000	1.22123856630962e+002	1.77004779492220e+002
1.43218789927353e+000	1.22123801987232e+002	1.76997887383900e+002
1.43548943335364e+000	1.22123747093985e+002	1.76990979469487e+002
1.43879857825583e+000	1.22123691937814e+002	1.76984055723204e+002
1.44211535152486e+000	1.22123636538450e+002	1.76977116100438e+002
1.44543977074592e+000	1.22123580884947e+002	1.76970160575939e+002
1.44877185354475e+000	1.22123524964920e+002	1.76963189099264e+002
1.45211161758773e+000	1.22123468798239e+002	1.76956201644858e+002
1.45545908058195e+000	1.22123412367577e+002	1.76949198162600e+002
1.45881426027534e+000	1.22123355674471e+002	1.76942178648114e+002
1.46217717445671e+000	1.22123298728573e+002	1.76935143033973e+002
1.46554784095590e+000	1.22123241516418e+002	1.76928091291836e+002
1.46892627764385e+000	1.22123184039266e+002	1.76921023384872e+002
1.47231250243271e+000	1.22123126300867e+002	1.76913939280043e+002
1.47570653327588e+000	1.22123068290153e+002	1.76906838942163e+002
1.47910838816819e+000	1.22123010023170e+002	1.76899722334914e+002
1.48251808514594e+000	1.22122951481317e+002	1.76892589407943e+002
1.48593564228699e+000	1.22122892670906e+002	1.76885440142278e+002
1.48936107771090e+000	1.22122833588153e+002	1.76878274491034e+002
1.49279440957898e+000	1.22122774234247e+002	1.76871092413131e+002
1.49623565609442e+000	1.22122714604317e+002	1.76863893880846e+002
1.49968483550236e+000	1.22122654709492e+002	1.76856678863305e+002
1.50314196609001e+000	1.22122594536011e+002	1.76849447302770e+002
1.50660706618673e+000	1.22122534081517e+002	1.76842199179082e+002
1.51008015416413e+000	1.22122473348319e+002	1.76834934440621e+002
1.51356124843619e+000	1.22122412336500e+002	1.76827653065192e+002
1.51705036745932e+000	1.22122351042144e+002	1.76820354995194e+002
1.52054752973248e+000	1.22122289475219e+002	1.76813040212000e+002
1.52405275379728e+000	1.22122227615936e+002	1.76805708678302e+002
1.52756605823806e+000	1.22122165473905e+002	1.76798360333919e+002
1.53108746168202e+000	1.22122103041841e+002	1.76790995163445e+002
1.53461698279928e+000	1.22122040339383e+002	1.76783613127186e+002
1.53815464030302e+000	1.22121977331725e+002	1.76776214164634e+002
1.54170045294954e+000	1.22121914034997e+002	1.76768798260118e+002
1.54525443953840e+000	1.22121850451574e+002	1.76761365375973e+002
1.54881661891247e+000	1.22121786578769e+002	1.76753915460395e+002
1.55238700995807e+000	1.22121722404175e+002	1.76746448478949e+002
1.55596563160506e+000	1.22121657938784e+002	1.76738964394253e+002
1.55955250282694e+000	1.22121593176379e+002	1.76731463176019e+002
1.56314764264094e+000	1.22121528110607e+002	1.76723944778786e+002
1.56675107010813e+000	1.22121462756017e+002	1.76716409150563e+002
1.57036280433354e+000	1.22121397096610e+002	1.76708856272532e+002
1.57398286446620e+000	1.22121331130943e+002	1.76701286098522e+002
1.57761126969933e+000	1.22121264867497e+002	1.76693698589785e+002
1.58124803927037e+000	1.22121198293746e+002	1.76686093703354e+002
1.58489319246110e+000	1.22121131419451e+002	1.76678471407035e+002
1.58854674859776e+000	1.22121064230812e+002	1.76670831654540e+002
1.59220872705115e+000	1.22120996741195e+002	1.76663174404165e+002
1.59587914723672e+000	1.22120928936952e+002	1.76655499628164e+002
1.59955802861465e+000	1.22120860820304e+002	1.76647807280871e+002
1.60324539069002e+000	1.22120792388513e+002	1.76640097314442e+002
1.60694125301286e+000	1.22120723643936e+002	1.76632369700027e+002
1.61064563517825e+000	1.22120654583920e+002	1.76624624400548e+002
1.61435855682647e+000	1.22120585206912e+002	1.76616861364718e+002
1.61808003764305e+000	1.22120515505347e+002	1.76609080559260e+002
1.62181009735891e+000	1.22120445490064e+002	1.76601281940889e+002
1.62554875575047e+000	1.22120375146056e+002	1.76593465472735e+002
1.62929603263970e+000	1.22120304484074e+002	1.76585631103189e+002
1.63305194789432e+000	1.22120233495483e+002	1.76577778819415e+002
1.63681652142779e+000	1.22120162182218e+002	1.76569908550834e+002
1.64058977319952e+000	1.22120090536767e+002	1.76562020273818e+002
1.64437172321491e+000	1.22120018563757e+002	1.76554113944006e+002
1.64816239152549e+000	1.22119946261636e+002	1.76546189516383e+002
1.65196179822900e+000	1.22119873624012e+002	1.76538246956627e+002
1.65576996346951e+000	1.22119800659122e+002	1.76530286212824e+002
1.65958690743754e+000	1.22119727354508e+002	1.76522307262745e+002
1.66341265037015e+000	1.22119653707302e+002	1.76514310055197e+002
1.66724721255104e+000	1.22119579722007e+002	1.76506294536280e+002
1.67109061431069e+000	1.22119505402203e+002	1.76498260686638e+002
1.67494287602642e+000	1.22119430740051e+002	1.76490208452953e+002
1.67880401812254e+000	1.22119355731467e+002	1.76482137788325e+002
1.68267406107045e+000	1.22119280379951e+002	1.76474048666743e+002
1.68655302538872e+000	1.22119204682577e+002	1.76465941034622e+002
1.69044093164324e+000	1.22119128634118e+002	1.76457814857117e+002
1.69433780044731e+000	1.22119052241530e+002	1.76449670083781e+002
1.69824365246172e+000	1.22118975494718e+002	1.76441506688010e+002
1.70215850839493e+000	1.22118898393105e+002	1.76433324606707e+002
1.70608238900310e+000	1.22118820937771e+002	1.76425123822343e+002
1.71001531509027e+000	1.22118743129425e+002	1.76416904279111e+002
1.71395730750840e+000	1.22118664958956e+002	1.76408665926254e+002
1.71790838715757e+000	1.22118586426094e+002	1.76400408736172e+002
1.72186857498599e+000	1.22118507540256e+002	1.76392132663045e+002
1.72583789199018e+000	1.22118428287392e+002	1.76383837657603e+002
1.72981635921508e+000	1.22118348672085e+002	1.76375523685836e+002
1.73380399775412e+000	1.22118268688925e+002	1.76367190700997e+002
1.73780082874935e+000	1.22118188338668e+002	1.76358838656941e+002
1.74180687339159e+000	1.22118107619801e+002	1.76350467528786e+002
1.74582215292048e+000	1.22118026530294e+002	1.76342077238810e+002
1.74984668862464e+000	1.22117945066246e+002	1.76333667771547e+002
1.75388050184174e+000	1.22117863233347e+002	1.76325239083949e+002
1.75792361395867e+000	1.22117781011306e+002	1.76316791124688e+002
1.76197604641161e+000	1.22117698424269e+002	1.76308323848075e+002
1.76603782068614e+000	1.22117615453166e+002	1.76299837203248e+002
1.77010895831740e+000	1.22117532102632e+002	1.76291331167932e+002
1.77418948089014e+000	1.22117448363425e+002	1.76282805689044e+002
1.77827941003890e+000	1.22117364244845e+002	1.76274260718633e+002
1.78237876744807e+000	1.22117279737824e+002	1.76265696222449e+002
1.78648757485203e+000	1.22117194842970e+002	1.76257112148002e+002
1.79060585403527e+000	1.22117109551054e+002	1.76248508446344e+002
1.79473362683250e+000	1.22117023880282e+002	1.76239885099859e+002
1.79887091512876e+000	1.22116937801369e+002	1.76231242028427e+002
1.80301774085955e+000	1.22116851343478e+002	1.76222579201791e+002
1.80717412601090e+000	1.22116764475324e+002	1.76213896587851e+002
1.81134009261958e+000	1.22116677213415e+002	1.76205194125485e+002
1.81551566277311e+000	1.22116589548574e+002	1.76196471775254e+002
1.81970085860996e+000	1.22116501484034e+002	1.76187729506305e+002
1.82389570231961e+000	1.22116413007943e+002	1.76178967259890e+002
1.82810021614272e+000	1.22116324127092e+002	1.76170184992441e+002
1.83231442237119e+000	1.22116234840867e+002	1.76161382660654e+002
1.83653834334832e+000	1.22116145147325e+002	1.76152560212531e+002
1.84077200146893e+000	1.22116055036054e+002	1.76143717612847e+002
1.84501541917945e+000	1.22115964506370e+002	1.76134854813327e+002
1.84926861897805e+000	1.22115873569937e+002	1.76125971768567e+002
1.85353162341479e+000	1.22115782211217e+002	1.76117068426431e+002
1.85780445509167e+000	1.22115690437087e+002	1.76108144756938e+002
1.86208713666284e+000	1.22115598233210e+002	1.76099200706401e+002
1.86637969083464e+000	1.22115505613673e+002	1.76090236228086e+002
1.87068214036577e+000	1.22115412560451e+002	1.76081251270815e+002
1.87499450806739e+000	1.22115319091338e+002	1.76072245790204e+002
1.87931681680324e+000	1.22115225179874e+002	1.76063219755496e+002
1.88364908948977e+000	1.22115130848696e+002	1.76054173115106e+002
1.88799134909627e+000	1.22115036079586e+002	1.76045105802470e+002
1.89234361864495e+000	1.22114940869485e+002	1.76036017786693e+002
1.89670592121112e+000	1.22114845230019e+002	1.76026909026510e+002
1.90107827992327e+000	1.22114749145609e+002	1.76017779474445e+002
1.90546071796322e+000	1.22114652623941e+002	1.76008629067945e+002
1.90985325856621e+000	1.22114555654522e+002	1.75999457775602e+002
1.91425592502106e+000	1.22114458249010e+002	1.75990265562185e+002
1.91866874067026e+000	1.22114360390150e+002	1.75981052341479e+002
1.92309172891013e+000	1.22114262078726e+002	1.75971818101128e+002
1.92752491319091e+000	1.22114163318717e+002	1.75962562781771e+002
1.93196831701690e+000	1.22114064103185e+002	1.75953286342157e+002
1.93642196394658e+000	1.22113964432453e+002	1.75943988728645e+002
1.94088587759275e+000	1.22113864304373e+002	1.75934669888222e+002
1.94536008162263e+000	1.22113763719519e+002	1.75925329792250e+002
1.94984459975802e+000	1.22113662667037e+002	1.75915968382287e+002
1.95433945577537e+000	1.22113561158355e+002	1.75906585608546e+002
1.95884467350596e+000	1.22113459175218e+002	1.75897181414228e+002
1.96336027683602e+000	1.22113356728184e+002	1.75887755784471e+002
1.96788628970682e+000	1.22113253812184e+002	1.75878308629055e+002
1.97242273611482e+000	1.22113150421744e+002	1.75868839934767e+002
1.97696964011183e+000	1.22113046554409e+002	1.75859349626521e+002
1.98152702580507e+000	1.22112942208287e+002	1.75849837681771e+002
1.98609491735734e+000	1.22112837388285e+002	1.75840304023849e+002
1.99067333898716e+000	1.22112732085171e+002	1.75830748637017e+002
1.99526231496885e+000	1.22112626301395e+002	1.75821171447148e+002
1.99986186963271e+000	1.22112520032278e+002	1.75811572405588e+002
2.00447202736513e+000	1.22112413264743e+002	1.75801951485520e+002
2.00909281260870e+000	1.22112306013578e+002	1.75792308616004e+002
2.01372424986236e+000	1.22112198276672e+002	1.75782643759967e+002
2.01836636368153e+000	1.22112090035613e+002	1.75772956856726e+002
2.02301917867824e+000	1.22111981301967e+002	1.75763247880625e+002
2.02768271952125e+000	1.22111872068235e+002	1.75753516756207e+002
2.03235701093619e+000	1.22111762340856e+002	1.75743763442204e+002
2.03704207770569e+000	1.22111652099163e+002	1.75733987899871e+002
2.04173794466950e+000	1.22111541351799e+002	1.75724190066399e+002
2.04644463672464e+000	1.22111430100363e+002	1.75714369910745e+002
2.05116217882553e+000	1.22111318340904e+002	1.75704527348468e+002
2.05589059598411e+000	1.22111206059159e+002	1.75694662365241e+002
2.06062991326997e+000	1.22111093269824e+002	1.75684774891512e+002
2.06538015581050e+000	1.22110979956995e+002	1.75674864878598e+002
2.07014134879101e+000	1.22110866128374e+002	1.75664932293978e+002
2.07491351745488e+000	1.22110751778824e+002	1.75654977061922e+002
2.07969668710366e+000	1.22110636907366e+002	1.75644999147194e+002
2.08449088309726e+000	1.22110521501644e+002	1.75634998491320e+002
2.08929613085401e+000	1.22110405565597e+002	1.75624975059454e+002
2.09411245585086e+000	1.22110289100261e+002	1.75614928779978e+002
2.09893988362349e+000	1.22110172095924e+002	1.75604859612236e+002
2.10377843976644e+000	1.22110054562534e+002	1.75594767510273e+002
2.10862814993326e+000	1.22109936487669e+002	1.75584652414224e+002
2.11348903983661e+000	1.22109817867705e+002	1.75574514279166e+002
2.11836113524847e+000	1.22109698704967e+002	1.75564353042675e+002
2.12324446200018e+000	1.22109578995983e+002	1.75554168674463e+002
2.12813904598268e+000	1.22109458742959e+002	1.75543961103562e+002
2.13304491314654e+000	1.22109337929924e+002	1.75533730287197e+002
2.13796208950220e+000	1.22109216561692e+002	1.75523476168225e+002
2.14289060112002e+000	1.22109094646950e+002	1.75513198705041e+002
2.14783047413050e+000	1.22108972169479e+002	1.75502897836282e+002
2.15278173472434e+000	1.22108849124329e+002	1.75492573516061e+002
2.15774440915263e+000	1.22108725513838e+002	1.75482225689761e+002
2.16271852372698e+000	1.22108601345316e+002	1.75471854307120e+002
2.16770410481966e+000	1.22108476599978e+002	1.75461459302099e+002
2.17270117886371e+000	1.22108351285323e+002	1.75451040641771e+002
2.17770977235312e+000	1.22108225394923e+002	1.75440598264058e+002
2.18272991184296e+000	1.22108098931130e+002	1.75430132119885e+002
2.18776162394952e+000	1.22107971880190e+002	1.75419642154874e+002
2.19280493535041e+000	1.22107844248064e+002	1.75409128314402e+002
2.19785987278479e+000	1.22107716035681e+002	1.75398590536302e+002
2.20292646305342e+000	1.22107587234537e+002	1.75388028795093e+002
2.20800473301886e+000	1.22107457841756e+002	1.75377443021600e+002
2.21309470960560e+000	1.22107327855672e+002	1.75366833146142e+002
2.21819641980018e+000	1.22107197271451e+002	1.75356199142984e+002
2.22330989065136e+000	1.22107066084989e+002	1.75345540946474e+002
2.22843514927026e+000	1.22106934302073e+002	1.75334858493853e+002
2.23357222283049e+000	1.22106801914161e+002	1.75324151761176e+002
2.23872113856830e+000	1.22106668914294e+002	1.75313420654123e+002
2.24388192378273e+000	1.22106535316025e+002	1.75302665142243e+002
2.24905460583574e+000	1.22106401100578e+002	1.75291885174483e+002
2.25423921215239e+000	1.22106266263908e+002	1.75281080695269e+002
2.25943577022094e+000	1.22106130814131e+002	1.75270251636345e+002
2.26464430759302e+000	1.22105994742399e+002	1.75259397954293e+002
2.26986485188378e+000	1.22105858049639e+002	1.75248519599378e+002
2.27509743077203e+000	1.22105720720571e+002	1.75237616508814e+002
2.28034207200038e+000	1.22105582773297e+002	1.75226688627549e+002
2.28559880337539e+000	1.22105444185318e+002	1.75215735908964e+002
2.29086765276773e+000	1.22105304965918e+002	1.75204758285144e+002
2.29614864811232e+000	1.22105165112293e+002	1.75193755708289e+002
2.30144181740847e+000	1.22105024611764e+002	1.75182728130859e+002
2.30674718872003e+000	1.22104883472299e+002	1.75171675481302e+002
2.31206479017555e+000	1.22104741680094e+002	1.75160597722146e+002
2.31739464996844e+000	1.22104599240640e+002	1.75149494783093e+002
2.32273679635706e+000	1.22104456153522e+002	1.75138366614685e+002
2.32809125766496e+000	1.22104312403352e+002	1.75127213154995e+002
2.33345806228096e+000	1.22104167991127e+002	1.75116034370460e+002
2.33883723865931e+000	1.22104022928305e+002	1.75104830178883e+002
2.34422881531988e+000	1.22103877194808e+002	1.75093600539894e+002
2.34963282084826e+000	1.22103730797416e+002	1.75082345393001e+002
2.35504928389597e+000	1.22103583725546e+002	1.75071064671039e+002
2.36047823318053e+000	1.22103435975138e+002	1.75059758335335e+002
2.36591969748571e+000	1.22103287556484e+002	1.75048426313803e+002
2.37137370566161e+000	1.22103138453134e+002	1.75037068565103e+002
2.37684028662483e+000	1.22102988668186e+002	1.75025685034625e+002
2.38231946935864e+000	1.22102838198260e+002	1.75014275645250e+002
2.38781128291313e+000	1.22102687037936e+002	1.75002840353087e+002
2.39331575640534e+000	1.22102535181579e+002	1.74991379098792e+002
2.39883291901944e+000	1.22102382634719e+002	1.74979891829062e+002
2.40436280000689e+000	1.22102229387877e+002	1.74968378475707e+002
2.40990542868655e+000	1.22102075440598e+002	1.74956839000933e+002
2.41546083444489e+000	1.22101920786955e+002	1.74945273327275e+002
2.42102904673613e+000	1.22101765423849e+002	1.74933681405604e+002
2.42661009508237e+000	1.22101609341964e+002	1.74922063183570e+002
2.43220400907377e+000	1.22101452560018e+002	1.74910418585573e+002
2.43781081836870e+000	1.22101295054087e+002	1.74898747575435e+002
2.44343055269392e+000	1.22101136827001e+002	1.74887050090027e+002
2.44906324184470e+000	1.22100977872816e+002	1.74875326056776e+002
2.45470891568498e+000	1.22100818195879e+002	1.74863575435447e+002
2.46036760414758e+000	1.22100657776744e+002	1.74851798160069e+002
2.46603933723429e+000	1.22100496634281e+002	1.74839994172061e+002
2.47172414501608e+000	1.22100334751349e+002	1.74828163395717e+002
2.47742205763324e+000	1.22100172125155e+002	1.74816305813362e+002
2.48313310529552e+000	1.22100008755406e+002	1.74804421320911e+002
2.48885731828234e+000	1.22099844635427e+002	1.74792509889282e+002
2.49459472694290e+000	1.22099679771693e+002	1.74780571460211e+002
2.50034536169638e+000	1.22099514148301e+002	1.74768605963190e+002
2.50610925303206e+000	1.22099347761667e+002	1.74756613328074e+002
2.51188643150953e+000	1.22099180620958e+002	1.74744593515747e+002
2.51767692775880e+000	1.22099012716510e+002	1.74732546464036e+002
2.52348077248052e+000	1.22098844042123e+002	1.74720472095009e+002
2.52929799644609e+000	1.22098674590994e+002	1.74708370376828e+002
2.53512863049786e+000	1.22098504370470e+002	1.74696241232297e+002
2.54097270554925e+000	1.22098333359638e+002	1.74684084592519e+002
2.54683025258499e+000	1.22098161572592e+002	1.74671900423731e+002
2.55270130266119e+000	1.22097989000527e+002	1.74659688643284e+002
2.55858588690559e+000	1.22097815641235e+002	1.74647449200099e+002
2.56448403651766e+000	1.22097641488631e+002	1.74635182031528e+002
2.57039578276881e+000	1.22097466534292e+002	1.74622887084897e+002
2.57632115700252e+000	1.22097290784347e+002	1.74610564291411e+002
2.58226019063454e+000	1.22097114226436e+002	1.74598213583815e+002
2.58821291515304e+000	1.22096936865772e+002	1.74585834917551e+002
2.59417936211876e+000	1.22096758688621e+002	1.74573428217452e+002
2.60015956316522e+000	1.22096579697606e+002	1.74560993432337e+002
2.60615354999884e+000	1.22096399892526e+002	1.74548530487069e+002
2.61216135439915e+000	1.22096219261240e+002	1.74536039334760e+002
2.61818300821893e+000	1.22096037802428e+002	1.74523519910212e+002
2.62421854338439e+000	1.22095855514750e+002	1.74510972148039e+002
2.63026799189533e+000	1.22095672395778e+002	1.74498395993743e+002
2.63633138582532e+000	1.22095488430551e+002	1.74485791380094e+002
2.64240875732189e+000	1.22095303636218e+002	1.74473158244147e+002
