Freq.	V(n022)
1.21898959892486e+000	(1.15582181982896e+001dB,1.79989877962642e+002°)
1.22179966016487e+000	(1.15582181973033e+001dB,1.79989854620006e+002°)
1.22461619926504e+000	(1.15582181963047e+001dB,1.79989831223581e+002°)
1.22743923115840e+000	(1.15582181953084e+001dB,1.79989807773241e+002°)
1.23026877081238e+000	(1.15582181943129e+001dB,1.79989784268863e+002°)
1.23310483322890e+000	(1.15582181933079e+001dB,1.79989760710322e+002°)
1.23594743344451e+000	(1.15582181923025e+001dB,1.79989737097494e+002°)
1.23879658653036e+000	(1.15582181912855e+001dB,1.79989713430253e+002°)
1.24165230759241e+000	(1.15582181902668e+001dB,1.79989689708473e+002°)
1.24451461177138e+000	(1.15582181892458e+001dB,1.79989665932030e+002°)
1.24738351424294e+000	(1.15582181882177e+001dB,1.79989642100796e+002°)
1.25025903021771e+000	(1.15582181871860e+001dB,1.79989618214646e+002°)
1.25314117494141e+000	(1.15582181861472e+001dB,1.79989594273452e+002°)
1.25602996369487e+000	(1.15582181851059e+001dB,1.79989570277088e+002°)
1.25892541179416e+000	(1.15582181840591e+001dB,1.79989546225427e+002°)
1.26182753459066e+000	(1.15582181830056e+001dB,1.79989522118341e+002°)
1.26473634747115e+000	(1.15582181819467e+001dB,1.79989497955703e+002°)
1.26765186585784e+000	(1.15582181808917e+001dB,1.79989473737384e+002°)
1.27057410520854e+000	(1.15582181798245e+001dB,1.79989449463255e+002°)
1.27350308101666e+000	(1.15582181787548e+001dB,1.79989425133189e+002°)
1.27643880881134e+000	(1.15582181776743e+001dB,1.79989400747055e+002°)
1.27938130415752e+000	(1.15582181765953e+001dB,1.79989376304726e+002°)
1.28233058265602e+000	(1.15582181755088e+001dB,1.79989351806071e+002°)
1.28528665994361e+000	(1.15582181744146e+001dB,1.79989327250960e+002°)
1.28824955169313e+000	(1.15582181733238e+001dB,1.79989302639263e+002°)
1.29121927361353e+000	(1.15582181722202e+001dB,1.79989277970850e+002°)
1.29419584144998e+000	(1.15582181711088e+001dB,1.79989253245590e+002°)
1.29717927098395e+000	(1.15582181700000e+001dB,1.79989228463352e+002°)
1.30016957803328e+000	(1.15582181688863e+001dB,1.79989203624004e+002°)
1.30316677845229e+000	(1.15582181677603e+001dB,1.79989178727414e+002°)
1.30617088813183e+000	(1.15582181666374e+001dB,1.79989153773452e+002°)
1.30918192299940e+000	(1.15582181655026e+001dB,1.79989128761984e+002°)
1.31219989901920e+000	(1.15582181643687e+001dB,1.79989103692877e+002°)
1.31522483219223e+000	(1.15582181632273e+001dB,1.79989078566000e+002°)
1.31825673855640e+000	(1.15582181620756e+001dB,1.79989053381218e+002°)
1.32129563418657e+000	(1.15582181609188e+001dB,1.79989028138398e+002°)
1.32434153519466e+000	(1.15582181597653e+001dB,1.79989002837407e+002°)
1.32739445772973e+000	(1.15582181585984e+001dB,1.79988977478110e+002°)
1.33045441797808e+000	(1.15582181574363e+001dB,1.79988952060372e+002°)
1.33352143216332e+000	(1.15582181562570e+001dB,1.79988926584059e+002°)
1.33659551654643e+000	(1.15582181550715e+001dB,1.79988901049037e+002°)
1.33967668742593e+000	(1.15582181538920e+001dB,1.79988875455168e+002°)
1.34276496113786e+000	(1.15582181526983e+001dB,1.79988849802319e+002°)
1.34586035405594e+000	(1.15582181515088e+001dB,1.79988824090352e+002°)
1.34896288259164e+000	(1.15582181503000e+001dB,1.79988798319132e+002°)
1.35207256319427e+000	(1.15582181490988e+001dB,1.79988772488522e+002°)
1.35518941235103e+000	(1.15582181478816e+001dB,1.79988746598384e+002°)
1.35831344658715e+000	(1.15582181466652e+001dB,1.79988720648582e+002°)
1.36144468246594e+000	(1.15582181454404e+001dB,1.79988694638978e+002°)
1.36458313658892e+000	(1.15582181442061e+001dB,1.79988668569434e+002°)
1.36772882559584e+000	(1.15582181429726e+001dB,1.79988642439812e+002°)
1.37088176616484e+000	(1.15582181417289e+001dB,1.79988616249974e+002°)
1.37404197501251e+000	(1.15582181404888e+001dB,1.79988589999780e+002°)
1.37720946889394e+000	(1.15582181392317e+001dB,1.79988563689091e+002°)
1.38038426460288e+000	(1.15582181379767e+001dB,1.79988537317768e+002°)
1.38356637897177e+000	(1.15582181367051e+001dB,1.79988510885671e+002°)
1.38675582887188e+000	(1.15582181354382e+001dB,1.79988484392660e+002°)
1.38995263121334e+000	(1.15582181341659e+001dB,1.79988457838594e+002°)
1.39315680294529e+000	(1.15582181328809e+001dB,1.79988431223334e+002°)
1.39636836105593e+000	(1.15582181315967e+001dB,1.79988404546736e+002°)
1.39958732257261e+000	(1.15582181302983e+001dB,1.79988377808661e+002°)
1.40281370456195e+000	(1.15582181290046e+001dB,1.79988351008966e+002°)
1.40604752412990e+000	(1.15582181276931e+001dB,1.79988324147509e+002°)
1.40928879842186e+000	(1.15582181263834e+001dB,1.79988297224148e+002°)
1.41253754462274e+000	(1.15582181250605e+001dB,1.79988270238740e+002°)
1.41579377995707e+000	(1.15582181237392e+001dB,1.79988243191142e+002°)
1.41905752168908e+000	(1.15582181224096e+001dB,1.79988216081210e+002°)
1.42232878712281e+000	(1.15582181210695e+001dB,1.79988188908802e+002°)
1.42560759360218e+000	(1.15582181197332e+001dB,1.79988161673772e+002°)
1.42889395851109e+000	(1.15582181183792e+001dB,1.79988134375977e+002°)
1.43218789927353e+000	(1.15582181170292e+001dB,1.79988107015271e+002°)
1.43548943335364e+000	(1.15582181156665e+001dB,1.79988079591510e+002°)
1.43879857825583e+000	(1.15582181142996e+001dB,1.79988052104548e+002°)
1.44211535152486e+000	(1.15582181129251e+001dB,1.79988024554240e+002°)
1.44543977074592e+000	(1.15582181115470e+001dB,1.79987996940438e+002°)
1.44877185354475e+000	(1.15582181101587e+001dB,1.79987969262998e+002°)
1.45211161758773e+000	(1.15582181087665e+001dB,1.79987941521773e+002°)
1.45545908058195e+000	(1.15582181073663e+001dB,1.79987913716614e+002°)
1.45881426027534e+000	(1.15582181059572e+001dB,1.79987885847375e+002°)
1.46217717445671e+000	(1.15582181045468e+001dB,1.79987857913908e+002°)
1.46554784095590e+000	(1.15582181031308e+001dB,1.79987829916065e+002°)
1.46892627764385e+000	(1.15582181017049e+001dB,1.79987801853698e+002°)
1.47231250243271e+000	(1.15582181002723e+001dB,1.79987773726657e+002°)
1.47570653327588e+000	(1.15582180988346e+001dB,1.79987745534793e+002°)
1.47910838816819e+000	(1.15582180973909e+001dB,1.79987717277958e+002°)
1.48251808514594e+000	(1.15582180959338e+001dB,1.79987688956001e+002°)
1.48593564228699e+000	(1.15582180944769e+001dB,1.79987660568772e+002°)
1.48936107771090e+000	(1.15582180930157e+001dB,1.79987632116120e+002°)
1.49279440957898e+000	(1.15582180915444e+001dB,1.79987603597896e+002°)
1.49623565609442e+000	(1.15582180900628e+001dB,1.79987575013947e+002°)
1.49968483550236e+000	(1.15582180885747e+001dB,1.79987546364121e+002°)
1.50314196609001e+000	(1.15582180870869e+001dB,1.79987517648268e+002°)
1.50660706618673e+000	(1.15582180855881e+001dB,1.79987488866235e+002°)
1.51008015416413e+000	(1.15582180840764e+001dB,1.79987460017869e+002°)
1.51356124843619e+000	(1.15582180825665e+001dB,1.79987431103017e+002°)
1.51705036745932e+000	(1.15582180810454e+001dB,1.79987402121527e+002°)
1.52054752973248e+000	(1.15582180795215e+001dB,1.79987373073243e+002°)
1.52405275379728e+000	(1.15582180779877e+001dB,1.79987343958013e+002°)
1.52756605823806e+000	(1.15582180764490e+001dB,1.79987314775682e+002°)
1.53108746168202e+000	(1.15582180748897e+001dB,1.79987285526095e+002°)
1.53461698279928e+000	(1.15582180733351e+001dB,1.79987256209097e+002°)
1.53815464030302e+000	(1.15582180717724e+001dB,1.79987226824533e+002°)
1.54170045294954e+000	(1.15582180702073e+001dB,1.79987197372247e+002°)
1.54525443953840e+000	(1.15582180686312e+001dB,1.79987167852083e+002°)
1.54881661891247e+000	(1.15582180670428e+001dB,1.79987138263884e+002°)
1.55238700995807e+000	(1.15582180654550e+001dB,1.79987108607493e+002°)
1.55596563160506e+000	(1.15582180638522e+001dB,1.79987078882753e+002°)
1.55955250282694e+000	(1.15582180622519e+001dB,1.79987049089507e+002°)
1.56314764264094e+000	(1.15582180606358e+001dB,1.79987019227597e+002°)
1.56675107010813e+000	(1.15582180590075e+001dB,1.79986989296863e+002°)
1.57036280433354e+000	(1.15582180573800e+001dB,1.79986959297149e+002°)
1.57398286446620e+000	(1.15582180557479e+001dB,1.79986929228293e+002°)
1.57761126969933e+000	(1.15582180540988e+001dB,1.79986899090138e+002°)
1.58124803927037e+000	(1.15582180524496e+001dB,1.79986868882524e+002°)
1.58489319246110e+000	(1.15582180507917e+001dB,1.79986838605289e+002°)
1.58854674859776e+000	(1.15582180491251e+001dB,1.79986808258274e+002°)
1.59220872705115e+000	(1.15582180474509e+001dB,1.79986777841318e+002°)
1.59587914723672e+000	(1.15582180457699e+001dB,1.79986747354259e+002°)
1.59955802861465e+000	(1.15582180440774e+001dB,1.79986716796936e+002°)
1.60324539069002e+000	(1.15582180423799e+001dB,1.79986686169187e+002°)
1.60694125301286e+000	(1.15582180406710e+001dB,1.79986655470849e+002°)
1.61064563517825e+000	(1.15582180389603e+001dB,1.79986624701760e+002°)
1.61435855682647e+000	(1.15582180372440e+001dB,1.79986593861756e+002°)
1.61808003764305e+000	(1.15582180355142e+001dB,1.79986562950675e+002°)
1.62181009735891e+000	(1.15582180337720e+001dB,1.79986531968351e+002°)
1.62554875575047e+000	(1.15582180320287e+001dB,1.79986500914622e+002°)
1.62929603263970e+000	(1.15582180302743e+001dB,1.79986469789321e+002°)
1.63305194789432e+000	(1.15582180285119e+001dB,1.79986438592285e+002°)
1.63681652142779e+000	(1.15582180267397e+001dB,1.79986407323348e+002°)
1.64058977319952e+000	(1.15582180249646e+001dB,1.79986375982343e+002°)
1.64437172321491e+000	(1.15582180231787e+001dB,1.79986344569106e+002°)
1.64816239152549e+000	(1.15582180213872e+001dB,1.79986313083469e+002°)
1.65196179822900e+000	(1.15582180195868e+001dB,1.79986281525265e+002°)
1.65576996346951e+000	(1.15582180177761e+001dB,1.79986249894327e+002°)
1.65958690743754e+000	(1.15582180159528e+001dB,1.79986218190487e+002°)
1.66341265037015e+000	(1.15582180141245e+001dB,1.79986186413578e+002°)
1.66724721255104e+000	(1.15582180122858e+001dB,1.79986154563431e+002°)
1.67109061431069e+000	(1.15582180104511e+001dB,1.79986122639876e+002°)
1.67494287602642e+000	(1.15582180085940e+001dB,1.79986090642745e+002°)
1.67880401812254e+000	(1.15582180067326e+001dB,1.79986058571868e+002°)
1.68267406107045e+000	(1.15582180048567e+001dB,1.79986026427075e+002°)
1.68655302538872e+000	(1.15582180029802e+001dB,1.79985994208196e+002°)
1.69044093164324e+000	(1.15582180010935e+001dB,1.79985961915059e+002°)
1.69433780044731e+000	(1.15582179991953e+001dB,1.79985929547494e+002°)
1.69824365246172e+000	(1.15582179972856e+001dB,1.79985897105328e+002°)
1.70215850839493e+000	(1.15582179953816e+001dB,1.79985864588391e+002°)
1.70608238900310e+000	(1.15582179934600e+001dB,1.79985831996509e+002°)
1.71001531509027e+000	(1.15582179915232e+001dB,1.79985799329510e+002°)
1.71395730750840e+000	(1.15582179895890e+001dB,1.79985766587220e+002°)
1.71790838715757e+000	(1.15582179876354e+001dB,1.79985733769466e+002°)
1.72186857498599e+000	(1.15582179856747e+001dB,1.79985700876074e+002°)
1.72583789199018e+000	(1.15582179837100e+001dB,1.79985667906869e+002°)
1.72981635921508e+000	(1.15582179817310e+001dB,1.79985634861678e+002°)
1.73380399775412e+000	(1.15582179797435e+001dB,1.79985601740323e+002°)
1.73780082874935e+000	(1.15582179777562e+001dB,1.79985568542631e+002°)
1.74180687339159e+000	(1.15582179757453e+001dB,1.79985535268424e+002°)
1.74582215292048e+000	(1.15582179737385e+001dB,1.79985501917527e+002°)
1.74984668862464e+000	(1.15582179717142e+001dB,1.79985468489763e+002°)
1.75388050184174e+000	(1.15582179696790e+001dB,1.79985434984954e+002°)
1.75792361395867e+000	(1.15582179676410e+001dB,1.79985401402922e+002°)
1.76197604641161e+000	(1.15582179655879e+001dB,1.79985367743491e+002°)
1.76603782068614e+000	(1.15582179635312e+001dB,1.79985334006481e+002°)
1.77010895831740e+000	(1.15582179614540e+001dB,1.79985300191713e+002°)
1.77418948089014e+000	(1.15582179593831e+001dB,1.79985266299008e+002°)
1.77827941003890e+000	(1.15582179572900e+001dB,1.79985232328187e+002°)
1.78237876744807e+000	(1.15582179551919e+001dB,1.79985198279069e+002°)
1.78648757485203e+000	(1.15582179530812e+001dB,1.79985164151473e+002°)
1.79060585403527e+000	(1.15582179509650e+001dB,1.79985129945220e+002°)
1.79473362683250e+000	(1.15582179488327e+001dB,1.79985095660127e+002°)
1.79887091512876e+000	(1.15582179467033e+001dB,1.79985061296013e+002°)
1.80301774085955e+000	(1.15582179445487e+001dB,1.79985026852695e+002°)
1.80717412601090e+000	(1.15582179423970e+001dB,1.79984992329991e+002°)
1.81134009261958e+000	(1.15582179402299e+001dB,1.79984957727718e+002°)
1.81551566277311e+000	(1.15582179380490e+001dB,1.79984923045693e+002°)
1.81970085860996e+000	(1.15582179358691e+001dB,1.79984888283731e+002°)
1.82389570231961e+000	(1.15582179336703e+001dB,1.79984853441648e+002°)
1.82810021614272e+000	(1.15582179314620e+001dB,1.79984818519260e+002°)
1.83231442237119e+000	(1.15582179292467e+001dB,1.79984783516381e+002°)
1.83653834334832e+000	(1.15582179270135e+001dB,1.79984748432826e+002°)
1.84077200146893e+000	(1.15582179247783e+001dB,1.79984713268408e+002°)
1.84501541917945e+000	(1.15582179225287e+001dB,1.79984678022942e+002°)
1.84926861897805e+000	(1.15582179202731e+001dB,1.79984642696240e+002°)
1.85353162341479e+000	(1.15582179179935e+001dB,1.79984607288116e+002°)
1.85780445509167e+000	(1.15582179157214e+001dB,1.79984571798380e+002°)
1.86208713666284e+000	(1.15582179134296e+001dB,1.79984536226846e+002°)
1.86637969083464e+000	(1.15582179111338e+001dB,1.79984500573325e+002°)
1.87068214036577e+000	(1.15582179088170e+001dB,1.79984464837628e+002°)
1.87499450806739e+000	(1.15582179064934e+001dB,1.79984429019564e+002°)
1.87931681680324e+000	(1.15582179041631e+001dB,1.79984393118945e+002°)
1.88364908948977e+000	(1.15582179018216e+001dB,1.79984357135580e+002°)
1.88799134909627e+000	(1.15582178994618e+001dB,1.79984321069277e+002°)
1.89234361864495e+000	(1.15582178970956e+001dB,1.79984284919847e+002°)
1.89670592121112e+000	(1.15582178947215e+001dB,1.79984248687097e+002°)
1.90107827992327e+000	(1.15582178923360e+001dB,1.79984212370835e+002°)
1.90546071796322e+000	(1.15582178899357e+001dB,1.79984175970869e+002°)
1.90985325856621e+000	(1.15582178875303e+001dB,1.79984139487005e+002°)
1.91425592502106e+000	(1.15582178851130e+001dB,1.79984102919051e+002°)
1.91866874067026e+000	(1.15582178826783e+001dB,1.79984066266811e+002°)
1.92309172891013e+000	(1.15582178802348e+001dB,1.79984029530093e+002°)
1.92752491319091e+000	(1.15582178777763e+001dB,1.79983992708701e+002°)
1.93196831701690e+000	(1.15582178753126e+001dB,1.79983955802440e+002°)
1.93642196394658e+000	(1.15582178728320e+001dB,1.79983918811114e+002°)
1.94088587759275e+000	(1.15582178703445e+001dB,1.79983881734528e+002°)
1.94536008162263e+000	(1.15582178678457e+001dB,1.79983844572484e+002°)
1.94984459975802e+000	(1.15582178653356e+001dB,1.79983807324786e+002°)
1.95433945577537e+000	(1.15582178628109e+001dB,1.79983769991235e+002°)
1.95884467350596e+000	(1.15582178602803e+001dB,1.79983732571635e+002°)
1.96336027683602e+000	(1.15582178577276e+001dB,1.79983695065787e+002°)
1.96788628970682e+000	(1.15582178551746e+001dB,1.79983657473491e+002°)
1.97242273611482e+000	(1.15582178526118e+001dB,1.79983619794549e+002°)
1.97696964011183e+000	(1.15582178500263e+001dB,1.79983582028761e+002°)
1.98152702580507e+000	(1.15582178474311e+001dB,1.79983544175927e+002°)
1.98609491735734e+000	(1.15582178448247e+001dB,1.79983506235845e+002°)
1.99067333898716e+000	(1.15582178422058e+001dB,1.79983468208316e+002°)
1.99526231496885e+000	(1.15582178395764e+001dB,1.79983430093136e+002°)
1.99986186963271e+000	(1.15582178369359e+001dB,1.79983391890104e+002°)
2.00447202736513e+000	(1.15582178342841e+001dB,1.79983353599018e+002°)
2.00909281260870e+000	(1.15582178316195e+001dB,1.79983315219675e+002°)
2.01372424986236e+000	(1.15582178289408e+001dB,1.79983276751870e+002°)
2.01836636368153e+000	(1.15582178262451e+001dB,1.79983238195400e+002°)
2.02301917867824e+000	(1.15582178235413e+001dB,1.79983199550062e+002°)
2.02768271952125e+000	(1.15582178208299e+001dB,1.79983160815648e+002°)
2.03235701093619e+000	(1.15582178181020e+001dB,1.79983121991955e+002°)
2.03704207770569e+000	(1.15582178153553e+001dB,1.79983083078777e+002°)
2.04173794466950e+000	(1.15582178126059e+001dB,1.79983044075907e+002°)
2.04644463672464e+000	(1.15582178098434e+001dB,1.79983004983138e+002°)
2.05116217882553e+000	(1.15582178070612e+001dB,1.79982965800264e+002°)
2.05589059598411e+000	(1.15582178042675e+001dB,1.79982926527076e+002°)
2.06062991326997e+000	(1.15582178014645e+001dB,1.79982887163366e+002°)
2.06538015581050e+000	(1.15582177986428e+001dB,1.79982847708926e+002°)
2.07014134879101e+000	(1.15582177958200e+001dB,1.79982808163546e+002°)
2.07491351745488e+000	(1.15582177929674e+001dB,1.79982768527016e+002°)
2.07969668710366e+000	(1.15582177901106e+001dB,1.79982728799127e+002°)
2.08449088309726e+000	(1.15582177872444e+001dB,1.79982688979668e+002°)
2.08929613085401e+000	(1.15582177843616e+001dB,1.79982649068428e+002°)
2.09411245585086e+000	(1.15582177814684e+001dB,1.79982609065195e+002°)
2.09893988362349e+000	(1.15582177785514e+001dB,1.79982568969757e+002°)
2.10377843976644e+000	(1.15582177756331e+001dB,1.79982528781901e+002°)
2.10862814993326e+000	(1.15582177726901e+001dB,1.79982488501415e+002°)
2.11348903983661e+000	(1.15582177697457e+001dB,1.79982448128084e+002°)
2.11836113524847e+000	(1.15582177667764e+001dB,1.79982407661696e+002°)
2.12324446200018e+000	(1.15582177638062e+001dB,1.79982367102034e+002°)
2.12813904598268e+000	(1.15582177608048e+001dB,1.79982326448885e+002°)
2.13304491314654e+000	(1.15582177578011e+001dB,1.79982285702033e+002°)
2.13796208950220e+000	(1.15582177547876e+001dB,1.79982244861261e+002°)
2.14289060112002e+000	(1.15582177517493e+001dB,1.79982203926353e+002°)
2.14783047413050e+000	(1.15582177487050e+001dB,1.79982162897092e+002°)
2.15278173472434e+000	(1.15582177456448e+001dB,1.79982121773261e+002°)
2.15774440915263e+000	(1.15582177425735e+001dB,1.79982080554641e+002°)
2.16271852372698e+000	(1.15582177394816e+001dB,1.79982039241014e+002°)
2.16770410481966e+000	(1.15582177363769e+001dB,1.79981997832161e+002°)
2.17270117886371e+000	(1.15582177332528e+001dB,1.79981956327862e+002°)
2.17770977235312e+000	(1.15582177301204e+001dB,1.79981914727898e+002°)
2.18272991184296e+000	(1.15582177269784e+001dB,1.79981873032047e+002°)
2.18776162394952e+000	(1.15582177238188e+001dB,1.79981831240089e+002°)
2.19280493535041e+000	(1.15582177206453e+001dB,1.79981789351803e+002°)
2.19785987278479e+000	(1.15582177174499e+001dB,1.79981747366965e+002°)
2.20292646305342e+000	(1.15582177142422e+001dB,1.79981705285354e+002°)
2.20800473301886e+000	(1.15582177110262e+001dB,1.79981663106746e+002°)
2.21309470960560e+000	(1.15582177077914e+001dB,1.79981620830917e+002°)
2.21819641980018e+000	(1.15582177045443e+001dB,1.79981578457644e+002°)
2.22330989065136e+000	(1.15582177012747e+001dB,1.79981535986702e+002°)
2.22843514927026e+000	(1.15582176979969e+001dB,1.79981493417866e+002°)
2.23357222283049e+000	(1.15582176947042e+001dB,1.79981450750910e+002°)
2.23872113856830e+000	(1.15582176913952e+001dB,1.79981407985608e+002°)
2.24388192378273e+000	(1.15582176880669e+001dB,1.79981365121732e+002°)
2.24905460583574e+000	(1.15582176847249e+001dB,1.79981322159057e+002°)
2.25423921215239e+000	(1.15582176813702e+001dB,1.79981279097353e+002°)
2.25943577022094e+000	(1.15582176779914e+001dB,1.79981235936393e+002°)
2.26464430759302e+000	(1.15582176746098e+001dB,1.79981192675948e+002°)
2.26986485188378e+000	(1.15582176712033e+001dB,1.79981149315789e+002°)
2.27509743077203e+000	(1.15582176677857e+001dB,1.79981105855685e+002°)
2.28034207200038e+000	(1.15582176643488e+001dB,1.79981062295406e+002°)
2.28559880337539e+000	(1.15582176608937e+001dB,1.79981018634722e+002°)
2.29086765276773e+000	(1.15582176574286e+001dB,1.79980974873400e+002°)
2.29614864811232e+000	(1.15582176539481e+001dB,1.79980931011209e+002°)
2.30144181740847e+000	(1.15582176504513e+001dB,1.79980887047917e+002°)
2.30674718872003e+000	(1.15582176469387e+001dB,1.79980842983289e+002°)
2.31206479017555e+000	(1.15582176434048e+001dB,1.79980798817093e+002°)
2.31739464996844e+000	(1.15582176398570e+001dB,1.79980754549094e+002°)
2.32273679635706e+000	(1.15582176362959e+001dB,1.79980710179058e+002°)
